generation,valid_candidates,failed_candidates,success_rate,gen_best_score,best_so_far_score,buffer_size,puct_expansions,wall_seconds,prompt_tokens,cached_prompt_tokens,cache_hit_rate,completion_tokens,reasoning_tokens,tokens_per_completion,truncated,decode_p50,decode_p90,decode_p99,decode_max,eval_p50,eval_p90,eval_p99,eval_max,queue_p50,queue_max,grade_p50,grade_max
0,26,54,0.325,2.6310935890984832,2.6310935890984832,15,80,3841.3,4540,0,0.878,1170002,931994,14625.0,0,14332,16525,27963,27963,237.81,546.0,548.89,548.89,0.38,46.4,2072.4,2535.91
1,14,66,0.175,2.6342924020714684,2.6342924020714684,24,160,1501.2,134675,0,0.9016,850415,681028,10630.2,0,10556,12792,13625,13625,433.92,545.08,548.5,548.5,0.4,27.8,620.4,967.7
2,19,61,0.2375,2.634292402073852,2.634292402073852,34,240,2009.8,124555,0,0.8968,869566,638438,10869.6,0,10529,13584,31783,31783,385.9,546.0,549.0,549.0,0.4,27.6,581.7,965.7
3,15,65,0.1875,2.634292402073359,2.634292402073852,44,320,1830.9,126827,0,0.9199,873463,615820,10918.3,0,10969,14428,17157,17157,543.6,546.88,553.09,553.09,0.4,43.59,630.51,840.5
4,17,63,0.2125,2.634292402071358,2.634292402073852,53,400,1779.2,141665,0,0.9019,892958,628399,11162.0,0,11247,13518,16185,16185,544.1,547.99,551.69,551.69,0.41,21.3,690.11,1025.79
5,10,70,0.125,2.6342924020713756,2.634292402073852,59,480,2357.2,147886,0,0.9325,812114,540203,10151.4,0,10126,12799,18168,18168,544.6,549.78,557.51,557.51,0.4,36.29,737.2,1559.41
6,13,67,0.1625,2.630178753837246,2.634292402073852,66,560,3321.5,157803,0,0.9207,843680,559583,10546.0,0,10330,13324,16739,16739,544.12,547.11,550.22,550.22,0.28,54.58,1145.29,1448.7
7,10,70,0.125,2.6342924020713556,2.634292402073852,74,640,1740.3,159289,0,0.9477,848219,559021,10602.7,0,10467,14119,17646,17646,545.18,548.49,553.61,553.61,0.49,23.71,672.29,1032.11
8,11,69,0.1375,2.6359830849176062,2.6359830849176062,80,720,1542.0,163111,0,0.9495,839676,551248,10496.0,0,10296,13716,17408,17408,544.38,547.0,550.5,550.5,0.41,24.89,772.01,1121.01
9,8,72,0.1,2.6342924020721137,2.6359830849176062,87,800,1612.6,169911,0,0.9319,824597,535276,10307.5,0,9969,14170,17645,17645,544.59,547.6,554.8,554.8,0.4,36.31,901.32,1185.91
10,14,66,0.175,2.6342924020721137,2.6359830849176062,94,880,1608.2,173862,0,0.9179,854623,549323,10682.8,0,10655,13957,18008,18008,545.21,548.22,552.61,552.61,0.4,13.2,772.28,1152.6
11,5,75,0.0625,2.6342924020714413,2.6359830849176062,99,960,2278.4,176986,0,0.9287,866054,560416,10825.7,0,10907,13691,16463,16463,545.59,549.5,553.79,553.79,0.4,24.3,887.09,1845.59
12,13,67,0.1625,2.6359830849176586,2.6359830849176586,108,1040,2248.2,175187,0,0.9401,873926,577720,10924.1,0,10828,14425,15668,15668,544.6,546.41,550.21,550.21,0.31,28.8,1347.11,1673.29
13,15,65,0.1875,2.6359830849178034,2.6359830849178034,117,1120,1613.9,180793,0,0.9152,880024,573146,11000.3,0,11094,13854,15895,15895,543.49,546.83,553.1,553.1,0.31,34.09,799.6,1179.41
14,13,67,0.1625,2.635983084917901,2.635983084917901,125,1200,1665.9,190242,0,0.9334,849014,521544,10612.7,0,10821,13498,14692,14692,544.69,548.3,549.71,549.71,0.38,26.72,821.79,1248.29
