generation,valid_candidates,failed_candidates,success_rate,gen_best_score,best_so_far_score,buffer_size,puct_expansions,wall_seconds,prompt_tokens,cached_prompt_tokens,cache_hit_rate,completion_tokens,reasoning_tokens,tokens_per_completion,truncated,decode_p50,decode_p90,decode_p99,decode_max,eval_p50,eval_p90,eval_p99,eval_max,queue_p50,queue_max,grade_p50,grade_max
0,17,63,0.2125,2.625246827622768,2.625246827622768,15,80,1266.7,4540,0,0.9231,1120693,932374,14008.7,0,14053,16335,18972,18972,226.21,546.71,549.9,549.9,0.3,17.2,430.8,886.49
1,35,45,0.4375,2.630438538491691,2.630438538491691,25,160,1289.9,103411,0,0.9309,798111,652175,9976.4,0,10025,11353,13515,13515,188.59,545.89,550.3,550.3,0.21,13.0,516.79,964.09
2,38,42,0.475,2.631093589098377,2.631093589098377,35,240,1737.6,106608,0,0.9043,808855,630093,10110.7,0,10016,12215,14537,14537,363.39,545.42,550.09,550.09,0.3,26.6,1005.11,1399.39
3,18,62,0.225,2.634292402071914,2.634292402071914,45,320,1894.9,121452,0,0.9029,860144,645590,10751.8,0,10724,13770,16699,16699,544.2,546.5,549.31,549.31,0.3,36.4,1136.22,1474.1
4,5,75,0.0625,2.627680555234913,2.634292402071914,50,400,1582.5,130393,0,0.9164,867868,633930,10848.4,0,10755,12960,15190,15190,544.83,547.0,550.99,550.99,0.31,34.81,871.81,1200.9
5,17,63,0.2125,2.635983084918005,2.635983084918005,60,480,2107.9,128764,0,0.9376,897060,663066,11213.2,0,10977,13447,17178,17178,542.91,546.31,551.29,551.29,0.22,4.3,744.2,1703.7
6,3,77,0.0375,2.627846630031397,2.635983084918005,63,560,1694.1,138422,0,0.8894,866434,607181,10830.4,0,10613,13632,17205,17205,540.8,545.81,552.73,552.73,0.29,36.92,944.66,1130.52
7,10,70,0.125,2.6330352288727523,2.635983084918005,70,640,1557.8,148042,0,0.9339,832814,560931,10410.2,0,10552,12883,16524,16524,541.89,549.3,550.49,550.49,0.08,217.3,549.28,969.01
8,3,77,0.0375,2.631093589098666,2.635983084918005,73,720,1504.0,151432,0,0.9279,812909,526201,10161.4,0,9979,13720,15636,15636,543.8,548.78,551.61,551.61,0.11,241.08,648.9,1115.8
9,10,70,0.125,2.6330352288724663,2.635983084918005,80,800,1498.2,154875,0,0.9261,860520,589103,10756.5,0,10652,14086,15574,15574,543.01,547.68,551.8,551.8,0.2,150.89,600.83,1091.48
10,4,76,0.05,2.6310935890991907,2.635983084918005,84,880,1463.9,157800,0,0.92,804889,522741,10061.1,0,10040,13016,15222,15222,542.89,547.51,561.6,561.6,0.12,332.08,588.9,1078.7
11,10,70,0.125,2.6307297079877556,2.635983084918005,89,960,1442.4,153745,0,0.9139,813032,518032,10162.9,0,10210,12701,15370,15370,541.6,546.41,558.67,558.67,0.18,191.09,585.66,1060.28
12,11,69,0.1375,2.634292402071467,2.635983084918005,95,1040,1465.2,168033,0,0.9371,801943,474022,10024.3,0,10083,13823,16548,16548,543.09,546.94,551.56,551.56,0.18,89.5,576.3,980.89
13,9,71,0.1125,2.6359830849177803,2.635983084918005,100,1120,1562.7,177446,0,0.9455,825676,488853,10321.0,0,10349,14684,17669,17669,543.09,546.78,551.09,551.09,0.12,196.99,584.69,988.89
14,6,74,0.075,2.635983084917716,2.635983084918005,105,1200,1350.9,180459,0,0.9425,819441,465892,10243.0,0,9709,14011,19471,19471,542.39,547.0,549.79,549.79,0.1,141.3,562.09,784.69
