generation,valid_candidates,failed_candidates,success_rate,gen_best_score,best_so_far_score,buffer_size,puct_expansions,wall_seconds,prompt_tokens,cached_prompt_tokens,cache_hit_rate,completion_tokens,reasoning_tokens,tokens_per_completion,truncated,decode_p50,decode_p90,decode_p99,decode_max,eval_p50,eval_p90,eval_p99,eval_max,queue_p50,queue_max,grade_p50,grade_max
0,22,58,0.275,2.6211425894900247,2.6211425894900247,15,80,1672.7,4540,0,0.9019,1250911,939680,15636.4,4,14352,18090,33999,33999,177.01,546.5,554.31,554.31,0.3,37.29,385.41,867.41
1,22,58,0.275,2.629189237628107,2.629189237628107,25,160,1351.7,121620,0,0.9032,838713,691087,10483.9,0,10333,12752,16694,16694,384.69,545.82,547.09,547.09,0.3,4.61,615.29,968.21
2,20,60,0.25,2.6280697766297156,2.629189237628107,34,240,1452.5,108377,0,0.9386,828070,673132,10350.9,0,10165,12567,14220,14220,542.91,546.3,548.79,548.79,0.3,25.8,784.2,1113.89
3,23,57,0.2875,2.634292402071578,2.634292402071578,44,320,1479.1,100215,0,0.9274,840669,665376,10508.4,0,10648,12350,18171,18171,447.18,544.6,546.71,546.71,0.27,42.41,749.67,1109.69
4,31,49,0.3875,2.633035202672452,2.634292402071578,53,400,1906.8,119585,0,0.9196,831763,638394,10397.0,0,10341,12427,13731,13731,448.8,547.89,551.11,551.11,0.19,6.81,594.52,1367.14
5,9,71,0.1125,2.633295208121904,2.634292402071578,59,480,2016.0,122110,0,0.9288,857596,663298,10720.0,0,10740,12613,14717,14717,541.09,547.09,555.0,555.0,0.18,131.49,1082.91,1550.4
6,14,66,0.175,2.6359830627707708,2.6359830627707708,67,560,1455.1,124089,0,0.9275,872853,678468,10910.7,0,11108,13226,14642,14642,540.01,545.79,550.5,550.5,0.2,132.11,636.32,1087.21
7,21,59,0.2625,2.6359830849176014,2.6359830849176014,75,640,1387.5,109673,0,0.9236,896798,689601,11210.0,0,11424,13337,15547,15547,537.02,541.59,548.6,548.6,0.28,42.7,616.8,1012.9
8,21,59,0.2625,2.6265719933329725,2.6359830849176014,83,720,1511.2,124265,0,0.9154,883726,637966,11046.6,0,11085,14508,16487,16487,538.36,544.19,548.2,548.2,0.18,61.1,696.42,1112.89
9,43,37,0.5375,2.6330352148765606,2.6359830849176014,93,800,1261.0,123955,0,0.9356,845616,573855,10570.2,0,10440,13600,16381,16381,371.3,538.9,540.12,540.12,0.2,27.1,481.58,838.61
10,36,44,0.45,2.634292402071419,2.6359830849176014,103,880,1408.5,151546,0,0.9311,757249,469635,9465.6,0,9813,11652,13884,13884,403.68,539.61,542.81,542.81,0.2,118.2,887.1,1066.35
11,37,43,0.4625,2.6359830849180366,2.6359830849180366,113,960,1665.6,132475,0,0.9417,846684,565186,10583.5,0,10319,13413,15441,15441,459.51,541.29,543.79,543.79,0.21,139.49,997.63,1260.82
12,48,32,0.6,2.6359830849181214,2.6359830849181214,123,1040,1359.5,148992,0,0.9535,824145,529294,10301.8,0,10234,13786,15790,15790,334.2,537.82,544.39,544.39,0.2,45.41,671.1,963.94
13,27,53,0.3375,2.6359830849180366,2.6359830849181214,131,1120,1537.4,168557,0,0.9349,781458,446935,9768.2,0,9623,12435,16733,16733,538.29,546.58,548.58,548.58,0.07,1.1,548.18,1066.0
14,40,40,0.5,2.6359830849180366,2.6359830849181214,141,1200,1732.3,173871,0,0.9115,796769,462457,9959.6,0,10215,13659,16188,16188,501.5,546.11,549.76,549.76,0.09,0.71,619.16,1171.07
